OBJECTID,ZIPCODE1,ZIPName
724,21405,Sherwood Forest
725,21409,Annapolis
726,21502,Cumberland
727,21520,Accident
728,21521,Barton
729,21522,Bittinger
730,21523,Bloomington
731,21530,Flintstone
732,21531,Friendsville
733,21532,Frostburg
734,21536,Grantsville
735,21538,Kitzmiller
736,21539,Lonaconing
737,21540,Luke
738,21541,McHenry
739,21545,Mount Savage
740,21550,Oakland
741,21555,Oldtown
742,21557,Rawlings
743,21561,Swanton
744,21562,Westernport
745,21601,Easton
746,21607,Barclay
747,21610,Betterton
748,21612,Bozman
749,21613,Cambridge
750,21617,Centreville
751,21619,Chester
752,21620,Chestertown
753,21622,Church Creek
754,21623,Church Hill
755,21625,Cordova
756,21626,Crapo
757,21627,Crocheron
758,21629,Denton
759,21631,East New Market
760,21632,Federalsburg
761,21634,Fishing Creek
762,21635,Galena
763,21636,Goldsboro
764,21638,Grasonville
765,21639,Greensboro
766,21640,Henderson
767,21643,Hurlock
768,21644,Ingleside
769,21645,Kennedyville
770,21647,McDaniel
771,21648,Madison
772,21649,Marydel
773,21650,Massey
774,21651,Millington
775,21652,Neavitt
776,21654,Oxford
777,21655,Preston
778,21657,Queen Anne
779,21658,Queenstown
780,21659,Rhodesdale
781,21660,Ridgely
782,21661,Rock Hall
783,21662,Royal Oak
784,21663,Saint Michaels
785,21665,Sherwood
786,21666,Stevensville
787,21667,Still Pond
788,21668,Sudlersville
789,21669,Taylors Island
790,21671,Tilghman
791,21672,Toddville
792,21673,Trappe
793,21675,Wingate
794,21676,Wittman
795,21677,Woolford
796,21678,Worton
797,21679,Wye Mills
798,21701,Frederick
799,21702,Frederick
800,21703,Frederick
801,21704,Frederick
802,21710,Adamstown
803,21711,Big Pool
804,21713,Boonsboro
805,21716,Brunswick
806,21718,Burkittsville
807,21719,Cascade
808,21722,Clear Spring
809,21723,Cooksville
810,21727,Emmitsburg
811,21733,Fairplay
812,21737,Glenelg
813,21738,Glenwood
814,21740,Hagerstown
815,21742,Hagerstown
816,21750,Hancock
817,21754,Ijamsville
818,21755,Jefferson
819,21756,Keedysville
820,21757,Keymar
821,21758,Knoxville
822,21766,Little Orleans
823,21767,Maugansville
824,21769,Middletown
825,21770,Monrovia
826,21771,Mount Airy
827,21773,Myersville
828,21774,New Market
829,21776,New Windsor
830,21777,Point of Rocks
831,21778,Rocky Ridge
832,21779,Rohrersville
833,21780,Sabillasville
834,21782,Sharpsburg
835,21783,Smithsburg
836,21784,Sykesville
837,21787,Taneytown
838,21788,Thurmont
839,21790,Tuscarora
840,21791,Union Bridge
841,21793,Walkersville
842,21794,West Friendship
843,21795,Williamsport
844,21797,Woodbine
845,21798,Woodsboro
846,21801,Salisbury
847,21804,Salisbury
848,21811,Berlin
849,21813,Bishopville
850,21814,Bivalve
851,21817,Crisfield
852,21821,Deal Island
853,21822,Eden
854,21824,Ewell
855,21826,Fruitland
856,21829,Girdletree
857,21830,Hebron
858,21835,Linkwood
859,21837,Mardela Springs
860,21838,Marion Station
861,21840,Nanticoke
862,21841,Newark
863,21842,Ocean City
864,21849,Parsonsburg
865,21850,Pittsville
866,21851,Pocomoke City
867,21853,Princess Anne
868,21856,Quantico
869,21862,Showell
870,21863,Snow Hill
871,21864,Stockton
872,21865,Tyaskin
873,21869,Vienna
874,21871,Westover
875,21872,Whaleyville
876,21874,Willards
877,21875,Delmar
878,21890,Westover
879,21901,North East
880,21903,Perryville
881,21904,Port Deposit
882,21911,Rising Sun
883,21912,Warwick
884,21915,Chesapeake City
885,21917,Colora
886,21918,Conowingo
887,21919,Earleville
888,21921,Elkton
